A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3
0,0,0,0,1,0,2,3,1,3,3,2,3,4,3,4,4,4
0,0,0,1,0,0,3,1,1,3,3,3,4,4,4,4,4,4
0,0,0,0,0,0,2,3,3,3,3,3,3,4,4,4,4,4
0,0,1,1,1,1,2,3,2,3,3,2,3,4,4,4,4,4
0,0,0,1,0,0,3,3,3,3,3,4,4,4,4,4,4,4
0,0,0,1,1,3,2,2,2,2,3,2,3,4,4,4,4,4
0,0,0,1,1,1,2,2,2,3,3,2,4,4,3,4,4,4
0,0,0,1,0,0,2,2,1,2,3,2,3,4,3,4,4,4
0,0,1,0,1,2,2,2,2,2,3,2,3,4,3,4,4,4
0,0,0,2,0,1,2,2,2,3,3,3,3,4,4,4,4,4
1,1,0,2,1,0,2,2,3,2,3,4,3,4,3,3,4,4
0,0,0,0,1,0,2,3,2,3,4,3,4,4,4,4,4,4
0,0,0,1,0,0,2,2,2,2,3,4,4,4,3,4,4,4
0,0,0,0,1,0,1,2,2,2,3,2,3,4,4,3,4,4
1,0,0,0,0,0,3,3,2,3,3,3,3,4,4,3,4,4
0,,,0,,,2,,,2,,,3,,,4,,
0,,,1,,,2,,,2,,,3,,,4,,
0,,,1,,,3,,,2,,,3,,,3,,
